vendor,city,scene_l1,scene_l2,operator,test_distance_km,test_duration_h,avg_speed_kmh,x1_平均RSRP,x1_平均SINR,x1_覆盖率1,x1_覆盖率2,x2_平均RSRP,x2_平均SINR,x2_覆盖率1,x2_覆盖率2
61f672c7283626788223681647752079,D,驶测,骑行道,移动,2.02233774805069,0.476697222222222,4.24239465592677,-64.5049387123646,5.26849599845293,0.875639652505058,0.875639652505058,-64.4950445868455,5.42171052258577,0.851063829787234,0.851063829787234
61f672c7283626788223681647752079,D,驶测,步行道,移动,2.03014532768726,0.497947222222222,4.07702912494862,-63.1828641644325,10.4584607489946,0.971291331546023,0.971291331546023,-62.6564212202724,10.5509561244233,0.977011494252874,0.977011494252874
61f672c7283626788223681647752079,D,驶测,步行道,电信,2.03014532768726,0.497777777777778,4.07841695294316,-96.5848129536572,5.52639935790061,0.937800111669458,0.956448911222781,-96.9531298857903,5.46597572124014,0.942528735632184,0.954022988505747
61f672c7283626788223681647752079,D,驶测,步行道,移动,2.03014532768726,0.497641666666667,4.07953245009749,-68.5155460770008,4.81538156639353,0.925693119317544,0.925693119317544,-68.9813673024248,4.69779250799664,0.908045977011494,0.908045977011494
61f672c7283626788223681647752079,D,驶测,步行道,移动,2.23328234964609,0.6015,3.71285511163107,-64.390625,6.48216610863095,0.980375744047619,0.980375744047619,-62.8648750766326,7.00024051809199,0.990825688073395,0.990825688073395
61f672c7283626788223681647752079,D,驶测,步行道,电信,2.23328234964609,0.601330555555556,3.7139013293326,-99.2688922284242,0.799816847359382,0.662838127951911,0.6849506225848,-101.536189408695,0.267480642722111,0.588235294117647,0.637254901960784
61f672c7283626788223681647752079,D,驶测,步行道,移动,2.23328234964609,0.601141666666667,3.71506830000597,-77.3276406162985,3.90174697187674,0.894653796175979,0.894653796175979,-76.2370395085443,4.70511812500163,0.899082568807339,0.899082568807339
61f672c7283626788223681647752079,D,定点,停车场,移动,,0.370919444444444,,-75.0820828331333,2.11577599789916,1.0,1.0,,,,
61f672c7283626788223681647752079,D,定点,停车场,电信,,0.37075,,-77.2773613193403,6.47012040854573,1.0,1.0,,,,
61f672c7283626788223681647752079,D,定点,停车场,移动,,0.370580555555556,,-76.0754688672168,0.991243904726182,0.994448612153038,0.994448612153038,,,,
61f672c7283626788223681647752079,D,定点,停车场,移动,,0.411194444444444,,-78.3049654985793,5.5028286091192,1.0,1.0,,,,
61f672c7283626788223681647752079,D,定点,停车场,电信,,0.410975,,-106.666711736074,-3.16877366143862,0.0896430502974581,0.681990265008112,,,,
61f672c7283626788223681647752079,D,定点,停车场,移动,,0.410833333333333,,-57.9380411255411,13.0614705932089,1.0,1.0,,,,
61f672c7283626788223681647752079,D,定点,咖啡厅,移动,,0.384108333333333,,-76.818741940106,12.8168769701963,0.846826192864307,0.846826192864307,,,,
61f672c7283626788223681647752079,D,定点,咖啡厅,电信,,0.383913888888889,,-101.184397163121,5.39302600472813,0.862588652482269,0.883274231678487,,,,
61f672c7283626788223681647752079,D,定点,咖啡厅,移动,,0.38375,,-62.9004780530204,14.7321250724323,1.0,1.0,,,,
61f672c7283626788223681647752079,D,定点,补给站,移动,,0.372252777777778,,-60.4808726838016,12.0676390653019,1.0,1.0,,,,
61f672c7283626788223681647752079,D,定点,补给站,电信,,0.372086111111111,,-100.128370098039,0.0764375574448529,0.853094362745098,0.865042892156863,,,,
61f672c7283626788223681647752079,D,定点,补给站,移动,,0.371925,,-66.6647243388615,12.0780222807411,1.0,1.0,,,,
61f672c7283626788223681647752079,I,驶测,骑行道,移动,5.37331341260672,0.638491666666667,8.41563593250768,-56.1417392068935,6.18268047129166,0.900993581289018,0.900993581289018,-56.7645848130733,5.74085971369367,0.887387387387387,0.887387387387387
61f672c7283626788223681647752079,I,驶测,骑行道,电信,5.39874204570055,0.643863888888889,8.38491199594548,-93.6440036900369,-3.33892124077491,0.151937269372694,0.197970479704797,-99.6416019297853,-3.29510572558529,0.0652173913043478,0.119565217391304
61f672c7283626788223681647752079,I,驶测,骑行道,移动,5.35852092331648,0.636761111111111,8.41527667097347,-76.371688493452,3.43459462161352,0.769169249225232,0.788863340997701,-76.4392768917919,3.13222771992037,0.763546798029557,0.768472906403941
61f672c7283626788223681647752079,I,驶测,骑行道,移动,5.07167007052898,0.584886111111111,8.67120961531179,-65.1953443258972,11.4417889185257,0.935305528612997,0.935305528612997,-63.3005354723533,11.3096964440249,0.955555555555556,0.96
61f672c7283626788223681647752079,I,驶测,骑行道,电信,5.07167007052898,0.584722222222222,8.67364002560776,-90.6127900396152,-3.41077744765139,0.343746462931522,0.368534238822864,-95.8167127957658,-3.44408043563362,0.285714285714286,0.329192546583851
61f672c7283626788223681647752079,I,驶测,骑行道,移动,5.07167007052898,0.584552777777778,8.67615425558207,-68.5923189110355,8.61154745989305,0.929411764705882,0.929411764705882,-68.2873692443193,9.38712200596835,0.96875,0.973214285714286
61f672c7283626788223681647752079,I,驶测,步行道,移动,2.05959138828516,0.317305555555556,6.49087717572142,-60.951566951567,10.5938251201923,0.96545584045584,0.96545584045584,-72.0058468188609,7.7150820741695,0.926315789473684,0.926315789473684
61f672c7283626788223681647752079,I,驶测,步行道,电信,2.05306912571192,0.317166666666667,6.47315541475119,-106.66592920354,2.85644198859769,0.271953710006807,0.546630360789653,-102.721482891855,-0.416833754991095,0.188235294117647,0.341176470588235
61f672c7283626788223681647752079,I,驶测,步行道,移动,2.04708282619715,0.316969444444444,6.4582970443258,-80.3973641451526,6.62034268369742,0.901065174219173,0.90305109225492,-85.4612126074168,7.86314578304161,0.895833333333333,0.90625
61f672c7283626788223681647752079,I,定点,咖啡厅,移动,,0.397802777777778,,-61.1163732886281,13.4542426306231,1.0,1.0,,,,
61f672c7283626788223681647752079,I,定点,咖啡厅,电信,,0.397583333333333,,-109.345174825175,7.15406468531468,0.0237762237762238,0.748671328671329,,,,
61f672c7283626788223681647752079,I,定点,咖啡厅,移动,,0.397444444444444,,-84.2401165210154,13.1247940941878,0.790123456790123,0.790123456790123,,,,
61f672c7283626788223681647752079,I,定点,休息点,移动,,0.393972222222222,,-47.7803810868031,14.1269407198306,1.0,1.0,,,,
61f672c7283626788223681647752079,I,定点,休息点,电信,,0.393805555555556,,-116.721484653819,-3.53375936830835,0.0806566738044254,0.204282655246253,,,,
61f672c7283626788223681647752079,I,定点,休息点,移动,,0.393611111111111,,-68.7276968754418,7.44761107380178,0.994768839247844,0.994768839247844,,,,
61f672c7283626788223681647752079,I,定点,停车场,移动,,0.402302777777778,,-64.6232725262576,14.5440656958264,1.0,1.0,,,,
61f672c7283626788223681647752079,I,定点,停车场,电信,,0.402111111111111,,-93.3619640387275,7.94922415283541,0.944674965421853,0.944674965421853,,,,
61f672c7283626788223681647752079,I,定点,停车场,移动,,0.401944444444444,,-99.5922125386562,11.3711519538937,0.753725049198763,0.753725049198763,,,,
61f672c7283626788223681647752079,I,定点,停车场,移动,,0.393916666666667,,-74.737012987013,3.76487727625635,0.99802371541502,0.99802371541502,,,,
61f672c7283626788223681647752079,I,定点,停车场,电信,,0.39375,,-86.4654388358345,0.117986869031378,0.398362892223738,0.398362892223738,,,,
61f672c7283626788223681647752079,I,定点,停车场,移动,,0.393583333333333,,-44.9623815584783,15.8925761914864,1.0,1.0,,,,
61f672c7283626788223681647752079,J,驶测,骑行道,移动,5.61482901751995,0.419086111111111,13.3977931233119,-90.4540145985401,-6.07766879562044,0.255961070559611,0.255961070559611,-92.4684023319244,-6.22595430698996,0.159090909090909,0.159090909090909
61f672c7283626788223681647752079,J,驶测,骑行道,电信,5.61482901751995,0.418938888888889,13.4025013347689,-101.578139596957,2.8419962798612,0.499799813158948,0.501401307887362,,,,
61f672c7283626788223681647752079,J,驶测,骑行道,移动,5.61482901751995,0.418752777777778,13.4084579625156,-70.077091306725,4.2697725874795,0.89898851831602,0.89898851831602,,,,
61f672c7283626788223681647752079,J,驶测,步行道,移动,2.12726338416338,0.450038888888889,4.72684347216177,-90.4540145985401,-6.07766879562044,0.255961070559611,0.255961070559611,-92.4684023319244,-6.22595430698996,0.159090909090909,0.159090909090909
61f672c7283626788223681647752079,J,驶测,步行道,电信,2.12726338416338,0.449866666666667,4.72865304719186,-119.371935390828,-7.16232964378425,0.0674935102394001,0.0710989327949236,,,,
61f672c7283626788223681647752079,J,驶测,步行道,移动,2.12726338416338,0.449697222222222,4.7304347882144,-75.8582340756085,5.27646175880373,0.948990160538581,0.948990160538581,,,,
61f672c7283626788223681647752079,J,定点,补给站,移动,,0.436169444444444,,-86.5421052631579,-5.1874177631579,0.249473684210526,0.249473684210526,,,,
61f672c7283626788223681647752079,J,定点,补给站,电信,,0.436,,-107.664991835197,1.42339412448185,0.213164175354855,0.708956161286271,,,,
61f672c7283626788223681647752079,J,定点,补给站,移动,,0.435833333333333,,-61.6596531497067,9.10247903914818,0.998469778117827,0.998469778117827,,,,
61f672c7283626788223681647752079,J,定点,停车场,移动,,0.486330555555556,,-91.7990543735225,-6.08035978132388,0.256501182033097,0.256501182033097,,,,
61f672c7283626788223681647752079,J,定点,停车场,电信,,0.486161111111111,,-108.192205826712,-3.57079234455795,0.0501954849287426,0.33774750914365,,,,
61f672c7283626788223681647752079,J,定点,停车场,移动,,0.485975,,-80.5804091896217,0.56698444107898,0.869813692993485,0.870613784432507,,,,
61f672c7283626788223681647752079,J,定点,停车场,移动,,0.441755555555556,,-96.1542056074766,-2.39099007009346,0.446105919003115,0.446105919003115,,,,
